Fecha;IP;Status;Position
2021-02-02 16:56:39;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:29;192.168.150.237:1813;activated;globallist
2021-02-02 16:56:29;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:29;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:10;192.168.150.237:1813;activated;globallist
2021-02-02 16:56:10;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:56:10;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:55:45;192.168.150.237:1813;activated;globallist
2021-02-02 16:55:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:55:45;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:55:26;192.168.150.237:1813;activated;globallist
2021-02-02 16:55:26;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:55:26;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:55:10;192.168.150.237:1813;activated;globallist
2021-02-02 16:55:10;192.168.150.238:1813;deactivated;globallist
2021-02-02 16:55:10;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:56:26;192.168.150.237:1813;activated;globallist
2021-02-03 07:56:26;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:56:26;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:56:14;192.168.150.237:1813;activated;globallist
2021-02-03 07:56:14;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:56:14;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:55:52;192.168.150.237:1813;activated;globallist
2021-02-03 07:55:52;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:55:52;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:55:17;192.168.150.237:1813;activated;globallist
2021-02-03 07:55:17;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:55:17;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:54:58;192.168.150.237:1813;activated;globallist
2021-02-03 07:54:58;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:54:58;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:54:20;192.168.150.237:1813;activated;globallist
2021-02-03 07:54:20;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:54:20;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:53:45;192.168.150.237:1813;activated;globallist
2021-02-03 07:53:45;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:53:45;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:53:19;192.168.150.237:1813;activated;globallist
2021-02-03 07:53:19;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:53:19;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:55;192.168.150.237:1813;activated;globallist
2021-02-03 07:52:55;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:55;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:35;192.168.150.237:1813;activated;globallist
2021-02-03 07:52:35;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:35;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:23;192.168.150.237:1813;activated;globallist
2021-02-03 07:52:23;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:23;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:08;192.168.150.237:1813;activated;globallist
2021-02-03 07:52:08;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:52:08;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:51:55;192.168.150.237:1813;activated;globallist
2021-02-03 07:51:55;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:51:55;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:51:38;192.168.150.237:1813;activated;globallist
2021-02-03 07:51:38;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:51:38;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:51:23;192.168.150.237:1813;activated;globallist
2021-02-03 07:51:23;192.168.150.238:1813;deactivated;globallist
