Fecha;APBaseRadioMAC;IPAddress;MACAddress
2021-04-16 07:39:12;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:39:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:38:58;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:38:48;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:38:42;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:38:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:38:28;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:38:18;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:38:12;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:38:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:37:58;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:37:48;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:37:42;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:37:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:37:28;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:37:18;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:37:12;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:37:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:36:58;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:36:48;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:36:42;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:36:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:36:28;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:36:18;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
