Fecha;APBaseRadioMAC;IPAddress;MACAddress
2021-04-15 08:09:53;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:09:41;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:09:40;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:09:38;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:09:23;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:09:11;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:09:10;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:09:07;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:08:52;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:08:41;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:08:40;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:08:37;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:08:21;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:08:10;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:08:09;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:08:06;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:07:50;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:07:40;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:07:39;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:07:35;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:07:20;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:07:09;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:07:08;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:07:05;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:06:49;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:06:39;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:06:38;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:06:35;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:06:19;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:06:09;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:06:07;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:06:05;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:05:49;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:05:39;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:05:37;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:05:35;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:05:18;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:05:08;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:05:07;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:05:04;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:04:48;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:04:38;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:04:37;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:04:34;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:04:18;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:04:07;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:04:06;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:04:03;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:03:47;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:03:37;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:03:36;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:03:33;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:03:17;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:03:06;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:03:05;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:03:02;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:02:46;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:02:36;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:02:35;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:02:32;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:02:16;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:02:05;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:02:05;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:02:02;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:01:46;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:01:35;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:01:34;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:01:32;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:01:15;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:01:05;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:01:03;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:01:01;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:00:45;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:00:35;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:00:33;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:00:31;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 08:00:15;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 08:00:05;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 08:00:02;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 08:00:00;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 07:59:44;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:59:35;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 07:59:32;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 07:59:30;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
