2021-02-02 17:16:33;30:fd:65:65:d2:10;removed;5c:83:8f:bf:2d:60;0(802.11n(2.4GHz))
2021-02-02 17:16:33;30:fd:65:65:d2:10;removed;5c:83:8f:ac:46:30;0(802.11n(2.4GHz))
2021-02-02 17:16:32;bc:c0:0f:94:53:30;detected;cc:d5:39:9f:ab:30;0(802.11n(2.4GHz));9;-89;4;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:16:32;d8:07:b6:5d:1e:68;detected;5c:83:8f:23:55:b0;0(802.11n(2.4GHz));10;-84;7;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:16:30;7c:c3:85:57:29:6c;detected;5c:83:8f:c2:14:60;1(802.11ac);149;-89;7;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:16:21;bc:c0:0f:96:ff:38;detected;70:b3:17:7e:50:00;0(802.11a/b/g/n);11;-89;0;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:16:21;bc:c0:0f:96:ff:38;detected;ec:bd:1d:52:67:10;0(802.11n(2.4GHz));11;-85;2;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:16:13;26:18:1d:07:30:ba;removed;ec:bd:1d:52:68:c0;0(802.11n(2.4GHz))
2021-02-02 17:16:13;26:18:1d:07:30:ba;removed;5c:83:8f:bf:2b:70;0(802.11n(2.4GHz))
2021-02-02 17:16:13;26:18:1d:07:30:ba;removed;5c:83:8f:b6:96:f0;0(802.11n(2.4GHz))
2021-02-02 17:16:06;d8:07:b6:5d:1d:f2;removed;5c:83:8f:ac:7c:20;0(802.11n(2.4GHz))
2021-02-02 17:16:06;d8:07:b6:5d:1d:f2;removed;5c:83:8f:d7:e0:f0;0(802.11n(2.4GHz))
2021-02-02 17:16:06;d8:07:b6:5d:1d:f2;removed;5c:83:8f:23:55:b0;0(802.11n(2.4GHz))
2021-02-02 17:16:06;f4:79:60:b6:6f:bc;detected;5c:83:8f:ac:7c:20;1(802.11ac);149;-88;10;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:16:04;1e:80:46:a9:79:07;detected;5c:83:8f:d7:e0:f0;0(802.11b/g);6;-75;4;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:16:00;88:94:7e:f7:3f:55;detected;5c:83:8f:d7:e0:f0;0(802.11n(2.4GHz));7;-78;21;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:59;bc:c0:0f:95:7d:d8;detected;54:4a:00:c7:3d:f0;0(802.11n(2.4GHz));2;-88;4;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:57;f8:98:ef:8e:fb:6c;removed;5c:83:8f:d7:e0:f0;0(802.11n(2.4GHz))
2021-02-02 17:15:49;00:67:62:24:b8:78;removed;54:4a:00:c7:3b:60;0(802.11n(2.4GHz))
2021-02-02 17:15:41;8e:b8:4a:fc:3b:e0;detected;d4:a0:2a:4b:53:e0;0(802.11n(2.4GHz));1;-81;5;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:41;8e:b8:4a:fc:3b:e0;detected;c4:14:3c:41:fe:f0;0(802.11n(2.4GHz));1;-87;4;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:41;8e:b8:4a:fc:3b:e0;detected;5c:83:8f:b6:93:c0;0(802.11n(2.4GHz));1;-85;2;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:41;8e:b8:4a:fc:3b:e0;detected;5c:83:8f:bf:29:00;0(802.11n(2.4GHz));1;-87;5;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;00:08:2f:33:b6:c0;0(802.11n(2.4GHz));1;-86;-1;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;2c:36:f8:b9:aa:d0;0(802.11n(2.4GHz));1;-87;2;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;d4:a0:2a:4b:1f:40;0(802.11n(2.4GHz));1;-81;4;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;70:b3:17:7d:b5:80;0(802.11a/b/g/n);1;-84;3;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;70:b3:17:8d:1e:a0;0(802.11a/b/g/n);1;-84;2;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;ec:bd:1d:41:60:20;0(802.11n(2.4GHz));1;-85;2;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;5c:83:8f:ac:7c:20;0(802.11n(2.4GHz));1;-85;1;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
2021-02-02 17:15:40;8e:b8:4a:fc:3b:e0;detected;70:b3:17:7b:14:00;0(802.11a/b/g/n);1;-88;0;unclassified;Alert;N;0;N.A.;00:00:00:00:00:00;0
